0000.train,KULLANMADIM .,,,,,,
1/kullan,,,,,,,
,ben:ARG0,,,,,,
,polarity:-,,,,,,
,,,,,,,
0001.train,GÜZELDİ .,,,,,,
1/güzel,,,,,,,
,o:domain,,,,,,
,,,,,,,
0002.train,İYİYDİ .,,,,,,
1/iyi,,,,,,,
,o:domain,,,,,,
,,,,,,,
0003.train,ÇOK İYİYDİ .,,,,,,
2/iyi,,,,,,,
,1/çok:degree,,,,,,
,o:domain,,,,,,
,,,,,,,
0004.train,BEKLENTİMİ KARŞILADI .,,,,,,
2/karşıla,,,,,,,
,o:domain,,,,,,
,1/beklenti:ARG1,,,,,,
,,ben:poss,,,,,
,,,,,,,
0005.train,10 PUAN VERİYORUM .,,,,,,
2/puan 3/ver,,,,,,,
,ben:ARG0,,,,,,
,score-quantity,,,,,,
,,1/10:quant,,,,,
,,,,,,,
0006.train,GAYET İYİYDİ .,,,,,,
2/iyi,,,,,,,
,o:domain,,,,,,
,1/gayet:degree,,,,,,
,,,,,,,
0007.train,BEN YAPTIRMADIM .,,,,,,
yap,,,,,,,
,2/yap:ARG1,,,,,,
,,1/ben:ARG0,,,,,
,,,,,,,
0008.train,ÇOK GÜZELDİ .,,,,,,
2/güzel,,,,,,,
,o:domain,,,,,,
,1/çok:degree,,,,,,
,,,,,,,
0009.train,KULLANMADIK .,,,,,,
1/kullan,,,,,,,
,biz:ARG0,,,,,,
,,,,,,,
0010.train,İLGİLENDİ .,,,,,,
1/ilgilen,,,,,,,
,o:ARG0,,,,,,
,,,,,,,
0011.train,KATILMADIM .,,,,,,
1/katıl,,,,,,,
,ben:ARG0,,,,,,
,,,,,,,
0012.train,İLGİLİYDİ .,,,,,,
1/ilgili,,,,,,,
,o:domain,,,,,,
,,,,,,,
0013.train,ÇOK İLGİLENDİ .,,,,,,
2/ilgilen,,,,,,,
,o:domain,,,,,,
,1/çok:degree,,,,,,
,,,,,,,
0014.train,ÇOK İYİ DEĞERLENDİRİRİM .,,,,,,
3/değerlendir,,,,,,,
,2/iyi:manner,,,,,,
,,1/çok:degree,,,,,
,ben:ARG0,,,,,,
,,,,,,,
0015.train,MEMNUN KALDIM .,,,,,,
1/memnun 2/kal,,,,,,,
,ben:ARG0,,,,,,
,,,,,,,
0016.train,YARARLANMADIM .,,,,,,
1/yararlan,,,,,,,
,ben:ARG0,,,,,,
,,,,,,,
0017.train,ÇOK İLGİLİYDİ .,,,,,,
2/ilgili,,,,,,,
,1/çok:degree,,,,,,
,,,,,,,
0018.train,TAM PUAN VERİYORUM .,,,,,,
2/puan 3/ver,,,,,,,
,ben:ARG0,,,,,,
,score-quantity,,,,,,
,,1/tam,,,,,
,,,,,,,
0019.train,MEMNUN KALMADIM .,,,,,,
1/memnun 2/kal,,,,,,,
,ben:ARG0,,,,,,
,-:polarity,,,,,,
,,,,,,,
0020.train,İLGİLENDİLER .,,,,,,
1/ilgilen,,,,,,,
,onlar:ARG0,,,,,,
,,,,,,,
0021.train,10 PUAN VERİRİM .,,,,,,
2/puan 3/ver,,,,,,,
,ben:ARG0,,,,,,
,score-quantity,,,,,,
,,1/10:quant,,,,,
,,,,,,,
0022.train,ÖDEDİĞİM ÜCRETİN KARŞILIĞINI ALAMADIM .,,,,,,
4/al,,,,,,,
,ben:ARG0,,,,,,
,-:polarity,,,,,,
,3/karşılık:ARG1,,,,,,
,,2/ücret:poss,,,,,
,,,1/öde:ARG1-of,,,,
,,,,ben:ARG0,,,
,,,,,,,
0023.train,ÇOK İLGİLENDİLER .,,,,,,
2/ilgilen,,,,,,,
,onlar:ARG0,,,,,,
,1/çok:degree,,,,,,
,,,,,,,
0024.train,ÇOK MEMNUN KALDIK .,,,,,,
2/memnun 3/kal,,,,,,,
,biz:ARG0,,,,,,
,1/çok:degree,,,,,,
,,,,,,,
0025.train,SÜPERDİ .,,,,,,
1/süper,,,,,,,
,2/o:domain,,,,,,
,,,,,,,
0026.train,YILDIZLI 5 PUAN VERİYORUM .,,,,,,
3/puan 4/ver,,,,,,,
,score-quantity,,,,,,
,,2/5:quant,,,,,
,,,var:ARG0-of,,,,
,,,,1/yıldızlı:ARG1,,,
,,,,,,,
0027.train,HER ŞEY GÜZELDİ .,,,,,,
3/güzel,,,,,,,
,2/şey:domain,,,,,,
,,1/her:mod,,,,,
,,,,,,,
0028.train,GAYET GÜZELDİ .,,,,,,
2/güzel,,,,,,,
,o:ARG0,,,,,,
,1/gayet:degree,,,,,,
,,,,,,,
0029.train,ÇOK MEMNUN KALDIM .,,,,,,
2/memnun 3/kal,,,,,,,
,ben:ARG0,,,,,,
,1/çok:degree,,,,,,
,,,,,,,
0030.train,BİLGİ VERİLDİ .,,,,,,
1/bilgi 2/ver,,,,,,,
,ona:ARG2,,,,,,
,,,,,,,
0031.train,MEMNUN KALDIK .,,,,,,
1/memnun 2/kal,,,,,,,
